aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
instant foods,dry goods pasta,packaged poultry,meat,11789,0.36670177431526085,1.996278627497032
marinades meat preparation,pantry,body lotions soap,personal care,1288,0.040063778549330395,1.9960461762387172
breakfast bars pastries,breakfast,chips pretzels,snacks,19771,0.6149852218158472,1.994364859375736
granola,breakfast,cereal,breakfast,16631,0.5173142088927902,1.9937276547751237
frozen breads doughs,frozen,frozen pizza,frozen,3362,0.1045764157475534,1.9927806024924628
poultry counter,meat,indian foods,international,1019,0.03169642107280099,1.9926909887920838
fresh pasta,dry goods pasta,frozen meat seafood,frozen,1442,0.044854012941098156,1.9877819309743978
instant foods,dry goods pasta,grains rice dried goods,dry goods pasta,13403,0.4169059191744373,1.9872633058224032
pasta sauce,dry goods pasta,frozen breads doughs,frozen,4824,0.1500525370512188,1.9864541421422206
other creams cheeses,dairy eggs,frozen dessert,frozen,3226,0.10034607888209615,1.9863751905175133
lunch meat,deli,bread,bakery,108814,3.3847049682195944,1.9860448734079756
coffee,beverages,cat food care,pets,3842,0.11950701644916721,1.9852889496019883
buns rolls,bakery,refrigerated pudding desserts,dairy eggs,2059,0.06404605592629758,1.9842628592744163
trash bags liners,household,energy sports drinks,beverages,1467,0.04563164839430721,1.9830919941183462
frozen meat seafood,frozen,doughs gelatins bake mixes,pantry,3769,0.11723632092579678,1.982353997400933
fresh herbs,produce,poultry counter,meat,23008,0.7156734602973553,1.981785317340629
canned fruit applesauce,canned goods,hot cereal pancake mixes,breakfast,6968,0.21674255351842717,1.9816805959393624
butter,dairy eggs,doughs gelatins bake mixes,pantry,13246,0.41202236852828444,1.981627260259899
instant foods,dry goods pasta,cereal,breakfast,30326,0.9433029101607093,1.9809265736798134
popcorn jerky,snacks,candy chocolate,snacks,20114,0.6256543802338754,1.9793387047545028
tofu meat alternatives,deli,soy lactosefree,dairy eggs,35627,1.1081927316591567,1.9790986464273321
pasta sauce,dry goods pasta,canned fruit applesauce,canned goods,9542,0.2968078997808312,1.9785684161149795
instant foods,dry goods pasta,ice cream toppings,snacks,1032,0.032100791508469693,1.9770999849705837
instant foods,dry goods pasta,tortillas flat bread,bakery,18383,0.5718109014536806,1.9748494647225374
oral hygiene,personal care,energy sports drinks,beverages,2655,0.0825848851308014,1.9746440270732823
bulk grains rice dried goods,bulk,nuts seeds dried fruit,snacks,2679,0.08333141516588208,1.9745048254671034
kosher foods,international,dry pasta,dry goods pasta,1478,0.045973807993719196,1.9728121026050225
coffee,beverages,body lotions soap,personal care,3910,0.12162218488189584,1.9726572023552367
seafood counter,seafood,packaged poultry,meat,2065,0.06423268843506774,1.9721816671046841
granola,breakfast,hot cereal pancake mixes,breakfast,8037,0.24999424549764626,1.9715095818630861
fresh herbs,produce,oils vinegars,pantry,40088,1.24695400192978,1.9714499830598218
instant foods,dry goods pasta,frozen dessert,frozen,1905,0.05925582153452981,1.9711162019007904
bulk dried fruits vegetables,bulk,candy chocolate,snacks,2362,0.07347099761919129,1.9699548842122532
latino foods,international,dry pasta,dry goods pasta,9455,0.2941017284036637,1.9698754893537562
cookies cakes,snacks,cocoa drink mixes,beverages,2123,0.06603680268651275,1.9697837870948844
instant foods,dry goods pasta,soup broth bouillon,canned goods,27141,0.8442321534218759,1.9684846833683534
buns rolls,bakery,lunch meat,deli,21368,0.6646605745668415,1.96802625165237
pasta sauce,dry goods pasta,poultry counter,meat,15148,0.47118487380842916,1.9666151401685485
bulk dried fruits vegetables,bulk,fruit vegetable snacks,snacks,1563,0.04861776853462998,1.964480593804791
kosher foods,international,frozen appetizers sides,frozen,1077,0.03350053532424599,1.96401095792206
soup broth bouillon,canned goods,doughs gelatins bake mixes,pantry,14633,0.4551655834723227,1.9637980748910178
instant foods,dry goods pasta,preserved dips spreads,pantry,10326,0.32119454759346716,1.963643687410799
instant foods,dry goods pasta,crackers,snacks,37252,1.1587390361177452,1.9628167049485574
cat food care,pets,breakfast bars pastries,breakfast,1254,0.039006194332966086,1.962088097442815
cookies cakes,snacks,plates bowls cups flatware,household,4143,0.1288697473058042,1.9609313323469326
marinades meat preparation,pantry,other creams cheeses,dairy eggs,9907,0.3081613773976834,1.960838120082545
preserved dips spreads,pantry,doughs gelatins bake mixes,pantry,5571,0.17328828439310529,1.9602929859824716
pickled goods olives,pantry,tortillas flat bread,bakery,11288,0.35111795983295147,1.960092717806168
breakfast bars pastries,breakfast,food storage,household,2018,0.06277073378303473,1.9562943120970362
frozen meals,frozen,breakfast bars pastries,breakfast,8565,0.26641790626942147,1.9556581025501016
frozen pizza,frozen,body lotions soap,personal care,2991,0.09303630562193106,1.9549632937800583
instant foods,dry goods pasta,kosher foods,international,1067,0.03318948114296237,1.9539440714979353
frozen breads doughs,frozen,frozen appetizers sides,frozen,3953,0.12295971786141541,1.9513470394604335
mint gum,snacks,tea,beverages,2029,0.06311289338244672,1.9508468689110825
refrigerated pudding desserts,dairy eggs,soft drinks,beverages,5389,0.1676270982937434,1.9505373045333454
refrigerated pudding desserts,dairy eggs,breakfast bakery,bakery,4279,0.13310008417126146,1.950296425985608
food storage,household,salad dressing toppings,pantry,2950,0.09176098347866822,1.9495481973332838
coffee,beverages,dog food care,pets,2824,0.08784170079449459,1.9494943941438168
soap,personal care,protein meal replacements,personal care,1085,0.03374937866927289,1.9474000508858684
refrigerated pudding desserts,dairy eggs,food storage,household,1083,0.03368716783301616,1.9473243549635335
seafood counter,seafood,grains rice dried goods,dry goods pasta,2328,0.07241341340282698,1.9467897179466502
buns rolls,bakery,breakfast bakery,bakery,13970,0.43454269125321865,1.946558616077404
frozen breakfast,frozen,lunch meat,deli,40018,1.2447766226607948,1.9461076423472203
frozen pizza,frozen,breakfast bakery,bakery,18498,0.5753880245384422,1.94481829962336
packaged meat,meat,frozen meat seafood,frozen,1380,0.04292547701713971,1.9443525551714798
energy granola bars,snacks,canned fruit applesauce,canned goods,13083,0.4069521853733615,1.9435687648496087
cold flu allergy,personal care,dish detergents,household,1119,0.0348069628856372,1.9435564716707627
frozen meat seafood,frozen,breakfast bars pastries,breakfast,2446,0.07608385274197371,1.9431042824647229
frozen breakfast,frozen,frozen breads doughs,frozen,4684,0.1456977785132481,1.9428530488191975
frozen appetizers sides,frozen,dry pasta,dry goods pasta,22806,0.7093901658354262,1.9419855856302681
bulk grains rice dried goods,bulk,dry pasta,dry goods pasta,2304,0.07166688336774629,1.9387723101378338
seafood counter,seafood,canned meat seafood,canned goods,1084,0.03371827325114452,1.9379235146872262
marinades meat preparation,pantry,canned meat seafood,canned goods,2155,0.06703217606662035,1.9365960955773462
bulk grains rice dried goods,bulk,soy lactosefree,dairy eggs,5529,0.17198185683171408,1.936278495409491
soup broth bouillon,canned goods,indian foods,international,2133,0.06634785686779637,1.935721084268846
pasta sauce,dry goods pasta,preserved dips spreads,pantry,12252,0.38110358290869256,1.9354483779246856
honeys syrups nectars,pantry,condiments,pantry,7473,0.23245078967325003,1.9352907111914972
salad dressing toppings,pantry,canned meat seafood,canned goods,3204,0.09966175968327219,1.9348974894230284
mint gum,snacks,nuts seeds dried fruit,snacks,2868,0.08921033919214252,1.9343090968858696
tofu meat alternatives,deli,dry pasta,dry goods pasta,14491,0.4507486140980953,1.934236818596034
soft drinks,beverages,muscles joints pain relief,personal care,2976,0.09256972435000563,1.9341584746020826
granola,breakfast,frozen breads doughs,frozen,2126,0.06613011894089783,1.9341256640180078
frozen vegan vegetarian,frozen,protein meal replacements,personal care,1539,0.04787123849954929,1.933124922943674
doughs gelatins bake mixes,pantry,dry pasta,dry goods pasta,12215,0.3799526824379431,1.9327119047133625
dog food care,pets,frozen pizza,frozen,2161,0.06721880857539052,1.9326775175383537
fresh pasta,dry goods pasta,frozen vegan vegetarian,frozen,1607,0.04998640693227791,1.9320261050058387
doughs gelatins bake mixes,pantry,body lotions soap,personal care,1909,0.059380243207043264,1.93086011994011
coffee,beverages,cream,dairy eggs,31772,0.9882813447743208,1.9302833107994009
oral hygiene,personal care,protein meal replacements,personal care,1092,0.03396711659617142,1.9294505675305917
soft drinks,beverages,frozen dessert,frozen,3131,0.09739106415990176,1.9282126642505604
packaged poultry,meat,canned meals beans,canned goods,15399,0.47899233375864814,1.9280713657858646
frozen pizza,frozen,frozen dessert,frozen,1558,0.04846224144398816,1.9276104573227222
preserved dips spreads,pantry,frozen pizza,frozen,8472,0.26352510238348376,1.9264204719599654
refrigerated pudding desserts,dairy eggs,canned meat seafood,canned goods,1172,0.03645555004644039,1.9257102581313796
instant foods,dry goods pasta,breakfast bakery,bakery,21898,0.6811464461748734,1.9254140472730328
marinades meat preparation,pantry,baking ingredients,pantry,8628,0.2683775476115082,1.9251881333023562
fresh pasta,dry goods pasta,baby food formula,babies,3033,0.09434273318332227,1.9250307805712645
pasta sauce,dry goods pasta,tortillas flat bread,bakery,21569,0.6709127636106423,1.9248268094834313
buns rolls,bakery,plates bowls cups flatware,household,2238,0.0696139257712744,1.9242954773073164
poultry counter,meat,grains rice dried goods,dry goods pasta,9742,0.30302898340650364,1.9242821717757264
bulk dried fruits vegetables,bulk,popcorn jerky,snacks,1508,0.04690697053757006,1.9241339429264175
frozen vegan vegetarian,frozen,preserved dips spreads,pantry,4786,0.14887053116234103,1.923277265416928
refrigerated pudding desserts,dairy eggs,other creams cheeses,dairy eggs,5312,0.16523198109785953,1.9223355586840645
tofu meat alternatives,deli,pickled goods olives,pantry,6490,0.20187416365307007,1.921031167093108
salad dressing toppings,pantry,other creams cheeses,dairy eggs,14443,0.44925555402793393,1.9210146011651468
pasta sauce,dry goods pasta,grains rice dried goods,dry goods pasta,15594,0.48505789029367874,1.9206797826365605
frozen vegan vegetarian,frozen,condiments,pantry,8978,0.279264443956435,1.9197617537459843
frozen breads doughs,frozen,dry pasta,dry goods pasta,5313,0.1652630865159879,1.9196877856898038
marinades meat preparation,pantry,frozen meat seafood,frozen,2382,0.07409310598175854,1.9195819926855835
latino foods,international,buns rolls,bakery,4236,0.13176255119174188,1.918761561707995
cereal,breakfast,hot cereal pancake mixes,breakfast,25768,0.8015244143316348,1.917749390094768
pasta sauce,dry goods pasta,packaged cheese,dairy eggs,87710,2.7282562240386405,1.9175849405626688
kosher foods,international,condiments,pantry,1214,0.0377619776078316,1.9175322806987651
energy sports drinks,beverages,tea,beverages,8413,0.2616898827139104,1.9157814422197033
frozen vegan vegetarian,frozen,asian foods,international,6463,0.2010343173636043,1.915387577682644
latino foods,international,condiments,pantry,7767,0.2415957826029885,1.91488746396499
fresh pasta,dry goods pasta,buns rolls,bakery,2123,0.06603680268651275,1.9140790257692657
butter,dairy eggs,other creams cheeses,dairy eggs,39769,1.2370313735468326,1.913393512311083
frozen vegan vegetarian,frozen,soy lactosefree,dairy eggs,25443,0.791415153439917,1.913375651226229
energy sports drinks,beverages,food storage,household,2586,0.08043861127994441,1.913122731537395
grains rice dried goods,dry goods pasta,hot cereal pancake mixes,breakfast,11322,0.3521755440493158,1.912645313196644
frozen breakfast,frozen,cereal,breakfast,34993,1.0884718965657751,1.9126270141663846
marinades meat preparation,pantry,oils vinegars,pantry,7558,0.23509475021416082,1.9119990188803486
canned meals beans,canned goods,canned meat seafood,canned goods,8153,0.25360247400053626,1.9108584496238425
packaged cheese,dairy eggs,tortillas flat bread,bakery,79259,2.4653843354358522,1.9101824497786646
packaged cheese,dairy eggs,latino foods,international,29785,0.9264748789532654,1.909940860444274
packaged seafood,seafood,lunch meat,deli,4082,0.12697231679997412,1.9091444416756735
frozen pizza,frozen,hot dogs bacon sausage,meat,22213,0.6909446528853075,1.9085941046248531
cookies cakes,snacks,frozen appetizers sides,frozen,18725,0.5824489544535805,1.9082808808098297
prepared soups salads,deli,fresh pasta,dry goods pasta,1278,0.03975272436804678,1.9070510393924167
fresh dips tapenades,deli,indian foods,international,2471,0.07686148819518276,1.9067352946562879
marinades meat preparation,pantry,fresh pasta,dry goods pasta,1182,0.03676660422772401,1.9065273968222998
instant foods,dry goods pasta,cat food care,pets,3403,0.10585173789081626,1.9052021835411797
frozen breakfast,frozen,cookies cakes,snacks,22244,0.6919089208472867,1.9047971229317964
specialty cheeses,dairy eggs,pickled goods olives,pantry,4682,0.14563556767699137,1.904485491009389
coffee,beverages,shave needs,personal care,1012,0.03147868314590245,1.9042131527041666
paper goods,household,white wines,alcohol,3019,0.09390725732952519,1.903921991343953
refrigerated pudding desserts,dairy eggs,crackers,snacks,6966,0.21668034268217043,1.9026209529312188
instant foods,dry goods pasta,cookies cakes,snacks,18590,0.5782497230062517,1.9024767955791766
fresh herbs,produce,fresh vegetables,produce,253545,7.886623239355571,1.900881998203682
facial care,personal care,soft drinks,beverages,1827,0.05682959892051757,1.9001205395109777
latino foods,international,canned fruit applesauce,canned goods,3123,0.09714222081487485,1.8993301412121297
bakery desserts,bakery,ice cream ice,frozen,6860,0.21338316836056406,1.8992924223781746
canned jarred vegetables,canned goods,doughs gelatins bake mixes,pantry,12501,0.3888488320226547,1.8989020597559596
tofu meat alternatives,deli,frozen produce,frozen,24767,0.7703878907851444,1.8972014415419878
cookies cakes,snacks,frozen pizza,frozen,15500,0.4821339809896127,1.8967332148527227
beers coolers,alcohol,energy sports drinks,beverages,1361,0.04233447407270083,1.8948405210521426
preserved dips spreads,pantry,frozen appetizers sides,frozen,10006,0.3112408137923912,1.8948356963543458
ice cream ice,frozen,frozen pizza,frozen,28782,0.8952761445705181,1.894631443536329
fresh herbs,produce,pickled goods olives,pantry,18127,0.5638479144128199,1.8944294764075327
buns rolls,bakery,packaged poultry,meat,7057,0.2195109357318514,1.8937197225599651
asian foods,international,canned jarred vegetables,canned goods,19296,0.6002101482048752,1.8936464702528828
energy granola bars,snacks,crackers,snacks,60377,1.8780518303361189,1.8933313671901435
frozen meat seafood,frozen,salad dressing toppings,pantry,3496,0.10874454177675394,1.8932589141182832
frozen breakfast,frozen,diapers wipes,babies,2573,0.08003424084427571,1.893200567640381
popcorn jerky,snacks,canned fruit applesauce,canned goods,6693,0.2081885635331276,1.8925687461638514
salad dressing toppings,pantry,body lotions soap,personal care,1816,0.05648743932110559,1.8912295343292185
cereal,breakfast,trail mix snack mix,snacks,5979,0.18597929498947705,1.8912070878159162
paper goods,household,skin care,personal care,1090,0.0339049057599147,1.8911301993996172
baking ingredients,pantry,hot cereal pancake mixes,breakfast,21081,0.6557333195640016,1.8903622801990758
soup broth bouillon,canned goods,canned meat seafood,canned goods,9645,0.3000117578480525,1.890080482740857
kosher foods,international,cookies cakes,snacks,1183,0.036797709645852376,1.8898164489467295
breakfast bakery,bakery,doughs gelatins bake mixes,pantry,11609,0.3611027990521557,1.888738174484169
digestion,personal care,laundry,household,1185,0.0368599204821091,1.8879503998335658
specialty cheeses,dairy eggs,dry pasta,dry goods pasta,10292,0.32013696337710285,1.8878505547458846
bulk dried fruits vegetables,bulk,packaged produce,produce,2018,0.06277073378303473,1.8874183210036073
pasta sauce,dry goods pasta,soup broth bouillon,canned goods,31317,0.974128379525916,1.8868196319925261
tofu meat alternatives,deli,tortillas flat bread,bakery,11247,0.34984263768968865,1.8860326469968007
nuts seeds dried fruit,snacks,hot cereal pancake mixes,breakfast,22099,0.6873986352186742,1.8857671069288138
spreads,pantry,hot cereal pancake mixes,breakfast,21314,0.6629808819879099,1.885542345677878
pasta sauce,dry goods pasta,tofu meat alternatives,deli,12393,0.3854894468647916,1.8852467379698723
frozen meat seafood,frozen,canned meat seafood,canned goods,2453,0.07630159066887225,1.8839407055679451
tortillas flat bread,bakery,dry pasta,dry goods pasta,24042,0.7478364626420817,1.8825728128198382
poultry counter,meat,canned meals beans,canned goods,16285,0.5065517342203769,1.881889859262213
prepared meals,deli,frozen pizza,frozen,7109,0.22112841747452622,1.8817986013271633
frozen breakfast,frozen,crackers,snacks,42672,1.3273304023734678,1.8813474579140101
tofu meat alternatives,deli,canned jarred vegetables,canned goods,14678,0.45656532728809895,1.880885389025683
granola,breakfast,fresh dips tapenades,deli,16614,0.516785416784608,1.8803572038325294
packaged poultry,meat,spices seasonings,pantry,11225,0.34915831849086465,1.8797444908881855
cereal,breakfast,body lotions soap,personal care,6176,0.19210706236076439,1.8797294640355495
frozen pizza,frozen,salad dressing toppings,pantry,7033,0.2187644056967707,1.8796144412885953
frozen breakfast,frozen,ice cream toppings,snacks,1172,0.03645555004644039,1.878764773231981
baking ingredients,pantry,food storage,household,8072,0.2510829351321389,1.8784319702446373
doughs gelatins bake mixes,pantry,plates bowls cups flatware,household,1871,0.05819823731816551,1.878414065447148
oils vinegars,pantry,canned jarred vegetables,canned goods,30063,0.9351221851929501,1.8771273416184358
packaged cheese,dairy eggs,lunch meat,deli,143912,4.476442933688848,1.876382086684515
prepared meals,deli,frozen appetizers sides,frozen,8509,0.2646760028542332,1.8758109739507796
frozen breads doughs,frozen,tortillas flat bread,bakery,4132,0.12852758770639225,1.8756522398384374
white wines,alcohol,energy sports drinks,beverages,1144,0.03558459833884625,1.8751649530548324
packaged poultry,meat,dry pasta,dry goods pasta,15178,0.47211803635228006,1.8733646385170521
canned meals beans,canned goods,frozen produce,frozen,51627,1.6058794217129506,1.8733047142929646
frozen vegan vegetarian,frozen,salad dressing toppings,pantry,3965,0.12333298287895576,1.8727310590685693
salad dressing toppings,pantry,canned fruit applesauce,canned goods,3937,0.12246203117136162,1.8722929885736719
paper goods,household,canned meat seafood,canned goods,7197,0.2238656942698221,1.8719398583640505
paper goods,household,refrigerated pudding desserts,dairy eggs,3751,0.11667642339948626,1.8717775595339745
frozen pizza,frozen,dry pasta,dry goods pasta,18299,0.5691980463308982,1.8710195170984303
food storage,household,spices seasonings,pantry,5454,0.16964895047208692,1.8709173403801935
cookies cakes,snacks,breakfast bakery,bakery,24355,0.7575724585162591,1.868077929323276
canned meat seafood,canned goods,dry pasta,dry goods pasta,8085,0.25148730556780763,1.8679630570316375
buns rolls,bakery,cookies cakes,snacks,11511,0.3580544680755762,1.8668285235239455
kosher foods,international,soup broth bouillon,canned goods,1648,0.05126172907554075,1.8657708508272053
energy granola bars,snacks,cookies cakes,snacks,30626,0.9526345355992178,1.865327983522071
frozen vegan vegetarian,frozen,tortillas flat bread,bakery,8213,0.255468799088238,1.864481467072013
fresh pasta,dry goods pasta,packaged cheese,dairy eggs,14604,0.4542635263466002,1.8639701434446876
canned fruit applesauce,canned goods,other creams cheeses,dairy eggs,12543,0.3901552595840459,1.8631538343768421
packaged poultry,meat,hot dogs bacon sausage,meat,17963,0.5587466258397685,1.8631252019867734
spices seasonings,pantry,meat counter,meat,6697,0.208312985205641,1.8625666946517094
frozen pizza,frozen,cereal,breakfast,23846,0.7417398006889229,1.8625303556224857
granola,breakfast,spreads,pantry,13070,0.40654781493769276,1.8624440904340596
indian foods,international,dry pasta,dry goods pasta,1740,0.05412342754335007,1.8617071488272796
honeys syrups nectars,pantry,tea,beverages,6811,0.2118590028722743,1.8611653620597532
butter,dairy eggs,cream,dairy eggs,41013,1.2757265136985152,1.8605354265517924
canned fruit applesauce,canned goods,tortillas flat bread,bakery,8134,0.2530114710560974,1.8592448646057442
cookies cakes,snacks,soft drinks,beverages,30517,0.9492440450232265,1.8588161278185105
specialty cheeses,dairy eggs,pasta sauce,dry goods pasta,8887,0.27643385090675404,1.8578193132923642
coffee,beverages,plates bowls cups flatware,household,3709,0.11536999583809505,1.857395367932905
frozen pizza,frozen,air fresheners candles,household,1315,0.04090362483879617,1.8569971592870835
prepared meals,deli,frozen breakfast,frozen,10025,0.31183181673683014,1.8569931305772789
pasta sauce,dry goods pasta,frozen meat seafood,frozen,7864,0.2446130081614396,1.856886483489381
cocoa drink mixes,beverages,frozen appetizers sides,frozen,1753,0.05452779797901877,1.856708833275658
frozen meat seafood,frozen,frozen vegan vegetarian,frozen,3091,0.09614684743476727,1.856673140028102
tofu meat alternatives,deli,fresh dips tapenades,deli,19284,0.5998368831873349,1.856367491091166
packaged cheese,dairy eggs,dry pasta,dry goods pasta,96750,3.0094492039190337,1.8559916337542488
kosher foods,international,other creams cheeses,dairy eggs,1703,0.05297252707260067,1.8558463995901968
shave needs,personal care,soft drinks,beverages,1529,0.04756018431826566,1.8552818923368966
soup broth bouillon,canned goods,meat counter,meat,10670,0.3318948114296237,1.8551586645542688
pasta sauce,dry goods pasta,pickled goods olives,pantry,11768,0.36604856053456525,1.8537087995907813
frozen vegan vegetarian,frozen,pickled goods olives,pantry,4626,0.1438936642618031,1.853698419768536
preserved dips spreads,pantry,condiments,pantry,11301,0.3515223302686202,1.8536328948568515
indian foods,international,canned jarred vegetables,canned goods,1804,0.056114174303565245,1.8530315396005443
frozen vegan vegetarian,frozen,fresh dips tapenades,deli,14214,0.44213241327653896,1.8523663362445006
dog food care,pets,soft drinks,beverages,4161,0.12942964483211472,1.8523471713238695
frozen vegan vegetarian,frozen,grains rice dried goods,dry goods pasta,5911,0.18386412655674841,1.8520512224909977
frozen pizza,frozen,chips pretzels,snacks,42907,1.334640175633633,1.8518118330978766
honeys syrups nectars,pantry,doughs gelatins bake mixes,pantry,3333,0.1036743586218309,1.8516867464317959
fruit vegetable snacks,snacks,refrigerated pudding desserts,dairy eggs,2726,0.0847933698179151,1.849844985831042
breakfast bakery,bakery,cereal,breakfast,37783,1.1752560131439054,1.8497650203107125
paper goods,household,spirits,alcohol,2660,0.08274041222144321,1.8496050996633144
hair care,personal care,frozen pizza,frozen,2022,0.06289515545554818,1.8494628677886373
food storage,household,canned meat seafood,canned goods,1972,0.06133988454913007,1.8482042575009534
granola,breakfast,soy lactosefree,dairy eggs,28298,0.8802211221963909,1.8481756786765193
paper goods,household,soft drinks,beverages,32247,1.0030564183852928,1.8476191353510267
poultry counter,meat,dry pasta,dry goods pasta,16212,0.5042810386970065,1.846801497681407
lunch meat,deli,frozen appetizers sides,frozen,31908,0.9925116816397781,1.8466972153775423
coffee,beverages,facial care,personal care,1145,0.03561570375697461,1.8466335407622099
canned meals beans,canned goods,doughs gelatins bake mixes,pantry,11499,0.35768120305803586,1.8456805709388802
fresh dips tapenades,deli,crackers,snacks,66635,2.072709536983409,1.845659896277047
tea,beverages,air fresheners candles,household,1717,0.05340800292639773,1.8455267656585148
crackers,snacks,cereal,breakfast,62901,1.956561905692105,1.8453899062233963
packaged poultry,meat,grains rice dried goods,dry goods pasta,8621,0.26815980968460973,1.8450257120842632
mint gum,snacks,fruit vegetable snacks,snacks,1565,0.048679979370886695,1.8449064975386746
canned jarred vegetables,canned goods,tortillas flat bread,bakery,24538,0.7632647500337494,1.8446098008315408
ice cream ice,frozen,doughs gelatins bake mixes,pantry,18101,0.5630391735414825,1.8438646148869937
frozen breads doughs,frozen,lunch meat,deli,7505,0.23344616305335764,1.8430652516185364
instant foods,dry goods pasta,hair care,personal care,2409,0.07493295227122432,1.842751156213747
fresh pasta,dry goods pasta,lunch meat,deli,6538,0.20336722372323143,1.8427490681894592
cookies cakes,snacks,cereal,breakfast,32331,1.0056692735080752,1.8422966225338513
crackers,snacks,chips pretzels,snacks,113635,3.534664189016428,1.842144067375026
canned meals beans,canned goods,other creams cheeses,dairy eggs,35681,1.1098724242380884,1.8418569327841476
packaged meat,meat,latino foods,international,1300,0.040437043566870744,1.8418537091807092
marinades meat preparation,pantry,fresh herbs,produce,10046,0.31248503051752574,1.8414959823058692
candy chocolate,snacks,ice cream toppings,snacks,1298,0.04037483273061401,1.8413200133378804
hair care,personal care,doughs gelatins bake mixes,pantry,1299,0.040405938148742375,1.8386383144031175
instant foods,dry goods pasta,dog food care,pets,2458,0.07645711775951405,1.8384504685838214
chips pretzels,snacks,frozen appetizers sides,frozen,51145,1.59088661017508,1.8383060182093358
preserved dips spreads,pantry,canned jarred vegetables,canned goods,13814,0.4296902460251942,1.8382211430805835
marinades meat preparation,pantry,plates bowls cups flatware,household,1195,0.03717097466339272,1.838210684012088
canned meals beans,canned goods,asian foods,international,17709,0.5508458496351646,1.8363874085700616
packaged cheese,dairy eggs,other creams cheeses,dairy eggs,117175,3.64477736919083,1.8351691248246271
refrigerated pudding desserts,dairy eggs,laundry,household,1459,0.045382805049280314,1.8350617116272616
breakfast bars pastries,breakfast,paper goods,household,6820,0.21213895163542956,1.8348253772457146
spreads,pantry,canned fruit applesauce,canned goods,11106,0.3454567737335895,1.8347881094177685
prepared soups salads,deli,refrigerated pudding desserts,dairy eggs,1150,0.03577123084761642,1.834265888631597
buns rolls,bakery,body lotions soap,personal care,2117,0.06585017017774258,1.8338333867188978
other creams cheeses,dairy eggs,pickled goods olives,pantry,16251,0.5054941500040125,1.8338110044678544
canned fruit applesauce,canned goods,bread,bakery,23393,0.7276490462767747,1.8337587805364393
canned meals beans,canned goods,salad dressing toppings,pantry,11095,0.3451146141341776,1.8336113392706925
refrigerated,beverages,juice nectars,beverages,70536,2.19405177310215,1.833368366918734
frozen breads doughs,frozen,pickled goods olives,pantry,2288,0.0711691966776925,1.8332649300115387
fresh herbs,produce,dry pasta,dry goods pasta,38862,1.2088187593044082,1.831467559534492
latino foods,international,frozen breakfast,frozen,7657,0.23817418660886866,1.8313365846664593
fresh pasta,dry goods pasta,hot dogs bacon sausage,meat,5254,0.1634278668464145,1.8309122245928917
soft drinks,beverages,first aid,personal care,1515,0.04712470846446859,1.8298424256911099
trash bags liners,household,soft drinks,beverages,4849,0.15083017250442787,1.829264140044855
specialty cheeses,dairy eggs,meat counter,meat,3032,0.09431162776519392,1.829127148571236
latino foods,international,asian foods,international,5352,0.166476197822994,1.8287773405784262
honeys syrups nectars,pantry,food storage,household,2060,0.06407716134442594,1.8287761100605826
breakfast bakery,bakery,tortillas flat bread,bakery,22705,0.7062485186044617,1.8281254410450667
coffee,beverages,trash bags liners,household,3124,0.09717332623300322,1.8275442005035365
instant foods,dry goods pasta,lunch meat,deli,31433,0.9777366080288061,1.8268439421012526
canned meals beans,canned goods,condiments,pantry,24410,0.759283256513319,1.8263468983967959
pickled goods olives,pantry,dry pasta,dry goods pasta,13211,0.41093367889379184,1.8259718818351167
dog food care,pets,doughs gelatins bake mixes,pantry,1319,0.04102804651130962,1.825459126074747
packaged meat,meat,pasta sauce,dry goods pasta,3779,0.11754737510708041,1.8254580475732962
asian foods,international,dry pasta,dry goods pasta,17857,0.5554494515181622,1.8253911930792006
pasta sauce,dry goods pasta,hot dogs bacon sausage,meat,30567,0.9507993159296445,1.824604093490077
poultry counter,meat,soup broth bouillon,canned goods,18875,0.5871147671728347,1.8237293617600836
ice cream ice,frozen,cookies cakes,snacks,37972,1.181134937170166,1.82355909712488
specialty cheeses,dairy eggs,butter,dairy eggs,10514,0.3270423662015992,1.8234731542560363
lunch meat,deli,tortillas flat bread,bakery,34246,1.0652361492238889,1.822595404675588
latino foods,international,hot dogs bacon sausage,meat,10406,0.3236829810437361,1.821866144958053
frozen meals,frozen,energy sports drinks,beverages,10453,0.3251449356957691,1.821410332323003
spices seasonings,pantry,dry pasta,dry goods pasta,21538,0.6699484956486631,1.8213358754965756
condiments,pantry,canned jarred vegetables,canned goods,25722,0.8000935650977301,1.821300344527996
buns rolls,bakery,tortillas flat bread,bakery,10697,0.33273465771908944,1.8210882849533647
refrigerated pudding desserts,dairy eggs,cereal,breakfast,5378,0.16728493869433142,1.8210115446907182
grains rice dried goods,dry goods pasta,frozen produce,frozen,29333,0.9124152299592456,1.8192911664851574
energy sports drinks,beverages,juice nectars,beverages,12634,0.3929858526337269,1.8171492960869848
tofu meat alternatives,deli,condiments,pantry,11503,0.3578056247305493,1.8169171190179485
soup broth bouillon,canned goods,pickled goods olives,pantry,15494,0.4819473484808425,1.816401080369103
trash bags liners,household,canned fruit applesauce,canned goods,1346,0.041867892800775394,1.815220945141389
cookies cakes,snacks,energy sports drinks,beverages,8316,0.2586726571554593,1.8150875824724912
pasta sauce,dry goods pasta,frozen breakfast,frozen,22254,0.6922199750285702,1.8146830883275555
